"","wage","education","experience","ethnicity","smsa","south","age","nearcollege","nearcollege2","nearcollege4","enrolled","married","education66","smsa66","south66","feducation","meducation","fameducation","kww","iq","parents14","library14"
"105",721,13,9,"other","yes","no",28,"yes","no","public","no","yes",13,"yes","no",12,12,"3",41,108,"both","yes"
"106",1154,14,12,"other","yes","no",32,"yes","no","public","no","yes",13,"yes","no",13,12,"2",44,107,"both","yes"
"107",827,18,10,"other","no","no",34,"yes","no","public","no","no",17,"yes","no",18,18,"1",40,129,"both","yes"
"108",923,16,12,"other","yes","no",34,"yes","no","public","no","yes",15,"yes","no",14,12,"2",56,NA,"both","yes"
"109",1076,17,5,"other","yes","no",28,"yes","no","public","no","yes",12,"no","no",14,17,"1",42,132,"both","yes"
"110",625,12,15,"other","yes","no",33,"yes","no","public","no","yes",11,"yes","no",9.9399995803833,8,"9",37,101,"both","yes"
"111",460,13,8,"other","yes","no",27,"yes","no","public","no","yes",12,"yes","no",9.9399995803833,8,"9",24,92,"singlemom","yes"
"112",900,14,4,"afam","yes","no",24,"yes","no","public","no","no",9,"yes","no",8,12,"6",39,108,"both","yes"
"113",682,18,5,"other","yes","no",29,"yes","no","public","no","yes",13,"no","no",8,9,"8",NA,132,"both","yes"
"114",411,12,6,"other","yes","no",24,"yes","no","public","no","yes",8,"yes","no",10,12,"6",20,NA,"both","yes"
"115",625,13,8,"other","yes","no",27,"yes","no","public","no","yes",11,"yes","no",12,15,"2",35,106,"both","no"
"116",1005,18,8,"other","yes","no",32,"yes","no","public","no","yes",17,"yes","no",12,12,"3",46,123,"both","yes"
"117",725,11,7,"other","yes","no",24,"yes","no","public","no","yes",9,"yes","no",9,11,"7",24,109,"both","yes"
"118",750,15,6,"other","yes","no",27,"yes","no","public","no","yes",11,"yes","no",8,11,"8",35,103,"both","yes"
"119",529,14,9,"other","yes","no",29,"yes","no","public","no","yes",13,"no","no",9.9399995803833,8,"9",33,108,"both","no"
"120",972,17,6,"other","yes","no",29,"yes","no","public","no","yes",13,"yes","no",8,12,"6",47,122,"both","yes"
"121",472,12,8,"other","no","no",26,"yes","no","public","no","yes",11,"yes","no",12,12,"3",36,109,"step","yes"
"122",325,12,6,"other","yes","no",24,"yes","no","public","no","no",9,"yes","no",12,12,"3",35,102,"step","yes"
"123",875,12,16,"other","yes","no",34,"yes","no","public","no","yes",12,"yes","no",9.9399995803833,12,"4",44,109,"both","yes"
"124",625,13,15,"other","yes","no",34,"yes","no","public","no","yes",11,"yes","no",9,10,"7",40,100,"both","yes"
"125",337,12,8,"other","yes","no",26,"yes","no","public","no","yes",10,"yes","no",8,10,"8",29,93,"both","yes"
"126",481,16,5,"other","yes","no",27,"yes","no","public","no","yes",11,"yes","no",5,5,"8",37,115,"both","yes"
"127",650,9,14,"other","yes","no",29,"yes","no","public","no","no",7,"yes","no",5,10.25,"9",NA,NA,"both","no"
"128",383,16,3,"other","yes","no",25,"yes","no","public","no","no",8,"yes","no",5,4,"8",39,NA,"both","no"
"129",962,18,6,"other","yes","no",30,"yes","no","public","no","yes",15,"yes","no",15,14,"1",50,125,"both","yes"
"130",615,16,7,"other","no","no",29,"yes","no","public","no","no",13,"yes","no",13,12,"2",31,106,"both","yes"
"131",702,14,8,"other","yes","no",28,"yes","no","public","no","yes",12,"yes","no",12,12,"3",43,113,"both","yes"
"132",635,14,11,"other","yes","no",31,"yes","no","public","no","no",12,"yes","no",9.9399995803833,12,"4",41,122,"both","yes"
"133",200,12,10,"other","yes","no",28,"yes","no","public","no","no",9,"yes","no",10,11,"7",35,NA,"both","no"
"134",817,12,9,"other","yes","no",27,"yes","no","public","no","yes",12,"yes","no",10,10,"7",43,116,"both","yes"
"135",577,14,6,"other","yes","no",26,"yes","no","public","no","yes",11,"yes","no",9.9399995803833,12,"4",39,116,"singlemom","yes"
"136",466,17,3,"other","yes","no",26,"yes","no","public","no","yes",11,"yes","no",12,12,"3",34,105,"both","yes"
"137",924,16,7,"other","yes","no",29,"yes","no","public","no","yes",14,"yes","no",9.9399995803833,12,"4",39,NA,"singlemom","yes"
"138",793,16,9,"other","yes","yes",31,"yes","no","public","yes","yes",15,"no","no",12,12,"3",38,112,"both","no"
"139",635,14,8,"other","yes","no",28,"yes","no","public","no","yes",12,"yes","no",12,12,"3",32,113,"both","yes"
"140",570,12,7,"other","yes","no",25,"yes","no","public","no","no",7,"yes","no",9.9399995803833,10.25,"9",22,NA,"other","yes"
"141",705,16,7,"other","yes","no",29,"yes","no","public","no","yes",13,"yes","no",12,12,"3",37,94,"both","yes"
"142",635,14,8,"other","yes","no",28,"yes","no","public","no","yes",12,"yes","no",12,9,"5",40,103,"both","yes"
"143",694,12,12,"other","yes","no",30,"yes","no","public","no","yes",12,"yes","no",9.9399995803833,12,"4",36,102,"step","no"
"144",615,13,15,"other","yes","no",34,"yes","no","public","no","yes",12,"yes","no",10,12,"6",47,109,"both","yes"
"145",462,16,4,"other","yes","no",26,"yes","no","public","no","no",11,"yes","no",15,10,"5",34,130,"both","yes"
"146",865,12,16,"other","yes","no",34,"yes","no","public","no","yes",12,"yes","no",12,12,"3",45,105,"both","yes"
"147",737,18,9,"other","yes","yes",33,"yes","no","public","no","yes",17,"no","no",12,12,"3",46,134,"both","yes"
"148",1400,12,7,"other","yes","no",25,"yes","no","public","no","yes",10,"yes","no",8,14,"6",39,NA,"both","yes"
"149",808,12,13,"other","yes","no",31,"yes","no","public","no","yes",12,"yes","no",9.9399995803833,7,"9",43,105,"singlemom","no"
"150",654,16,4,"other","yes","no",26,"yes","no","public","no","yes",11,"yes","no",11,12,"6",36,104,"both","no"
"151",300,12,7,"other","yes","no",25,"yes","no","public","no","yes",9,"yes","no",9.9399995803833,12,"4",35,112,"singlemom","yes"
"152",577,16,8,"other","yes","no",30,"yes","no","public","no","no",12,"yes","no",8,10,"8",37,115,"both","yes"
"153",265,16,2,"other","yes","no",24,"yes","no","public","no","no",8,"yes","no",10,12,"6",44,NA,"both","yes"
"154",594,18,7,"other","no","no",31,"yes","no","public","no","yes",15,"yes","no",8,8,"8",33,117,"both","yes"
"155",325,17,3,"other","yes","no",26,"yes","no","public","no","yes",9,"yes","no",12,8,"5",29,114,"both","yes"
"156",385,16,2,"other","no","no",24,"yes","no","public","yes","no",9,"yes","no",12,8,"5",37,118,"both","yes"
"157",1000,18,1,"other","yes","no",25,"yes","no","public","no","yes",10,"yes","no",12,12,"3",32,107,"both","yes"
"158",465,18,4,"other","yes","no",28,"yes","no","public","no","no",13,"yes","no",8,11,"8",49,120,"both","yes"
"159",440,16,6,"other","yes","no",28,"yes","no","public","no","no",13,"no","no",16,18,"1",43,131,"both","yes"
"160",625,16,5,"other","yes","no",27,"yes","no","public","no","no",12,"no","no",16,17,"1",40,124,"both","yes"
"161",285,17,4,"other","yes","no",27,"yes","no","public","no","yes",11,"yes","no",11,12,"6",36,121,"both","yes"
"162",650,14,7,"other","yes","no",27,"yes","no","public","no","yes",12,"yes","no",10,12,"6",35,110,"both","yes"
"163",808,13,6,"other","yes","no",25,"yes","no","public","no","yes",10,"yes","no",10,12,"6",34,103,"both","yes"
"164",500,12,6,"other","yes","no",24,"yes","no","public","no","yes",8,"yes","no",10,12,"6",26,NA,"both","yes"
"165",831,16,4,"other","yes","no",26,"yes","no","public","no","yes",11,"yes","no",14,12,"2",45,115,"both","yes"
"166",500,12,13,"other","yes","no",31,"yes","no","public","no","yes",12,"yes","no",8,6,"8",33,96,"both","yes"
"167",693,17,9,"other","yes","no",32,"yes","no","public","no","yes",17,"yes","no",12,12,"3",48,123,"both","no"
"168",1100,12,9,"other","yes","no",27,"yes","no","public","no","yes",11,"yes","no",12,10,"5",37,101,"both","yes"
"169",763,12,7,"other","yes","no",25,"yes","no","public","no","yes",10,"yes","no",8,12,"6",34,98,"both","yes"
"170",795,12,9,"other","yes","no",27,"yes","yes","public","no","yes",12,"yes","no",8,9,"8",28,NA,"both","yes"
"171",333,16,3,"other","yes","no",25,"yes","yes","public","no","no",10,"yes","no",7,8,"8",31,108,"both","yes"
"172",409,18,6,"other","yes","no",30,"yes","yes","public","no","yes",13,"yes","no",16,12,"2",39,138,"both","yes"
"173",865,16,5,"other","yes","no",27,"yes","yes","public","no","yes",11,"yes","no",9.9399995803833,12,"4",37,121,"both","yes"
"174",888,12,13,"other","yes","no",31,"yes","yes","public","no","yes",12,"yes","no",8,12,"6",34,96,"both","yes"
"175",673,12,16,"other","yes","no",34,"yes","yes","public","no","yes",12,"yes","no",9.9399995803833,12,"4",47,89,"both","yes"
"176",700,12,15,"other","no","no",33,"yes","yes","public","no","no",12,"yes","no",7,10.25,"9",43,109,"both","yes"
"177",250,18,9,"other","yes","yes",33,"yes","yes","public","no","no",17,"yes","no",16,16,"1",44,133,"both","yes"
"178",625,11,10,"other","yes","no",27,"yes","yes","public","no","no",11,"yes","no",11,9,"7",32,84,"both","yes"
"179",417,13,12,"other","yes","no",31,"yes","yes","public","no","no",10,"yes","no",8,12,"6",37,NA,"both","yes"
"180",576,13,9,"other","yes","no",28,"yes","yes","public","no","yes",12,"yes","no",8,12,"6",51,98,"both","yes"
"181",613,12,8,"afam","yes","no",26,"yes","yes","public","no","no",9,"yes","no",12,9,"5",27,85,"both","yes"
"182",700,12,13,"other","yes","no",31,"yes","yes","public","no","yes",12,"yes","no",11,9,"7",NA,105,"both","yes"
"183",450,12,6,"other","yes","no",24,"yes","yes","public","no","no",9,"yes","no",11,9,"7",20,93,"both","yes"
"184",500,16,6,"other","yes","no",28,"yes","yes","public","no","yes",12,"yes","no",9.9399995803833,12,"4",38,115,"singlemom","yes"
"185",514,12,7,"other","no","no",25,"yes","yes","public","no","yes",9,"yes","no",12,10.25,"5",36,NA,"both","yes"
"186",250,16,3,"other","yes","no",25,"yes","yes","public","no","no",10,"yes","no",12,12,"3",45,146,"both","yes"
"187",315,12,6,"other","no","no",24,"yes","yes","public","no","no",8,"yes","no",12,12,"3",32,NA,"both","yes"
"188",375,12,11,"other","yes","no",29,"yes","yes","public","no","yes",12,"yes","no",9,12,"6",32,82,"both","yes"
"189",457,15,13,"other","no","no",34,"yes","yes","public","no","yes",15,"yes","no",9.9399995803833,12,"4",45,120,"singlemom","yes"
"190",275,12,9,"afam","yes","no",27,"yes","yes","public","no","no",8,"yes","no",9.9399995803833,10.25,"9",26,NA,"other","no"
"191",951,12,10,"other","yes","no",28,"yes","yes","public","no","yes",12,"yes","no",9.9399995803833,12,"4",38,122,"singlemom","yes"
"192",1115,16,10,"other","yes","no",32,"yes","yes","public","no","yes",16,"no","no",8,9,"8",49,NA,"both","yes"
"193",289,16,3,"other","no","no",25,"yes","yes","public","yes","no",9,"yes","no",12,14,"2",31,128,"both","yes"
"194",500,16,3,"other","yes","no",25,"yes","yes","public","no","yes",10,"yes","no",9.9399995803833,10.25,"9",34,110,"other","yes"
"195",726,18,8,"other","yes","no",32,"yes","yes","public","no","yes",16,"yes","no",16,12,"2",46,114,"both","yes"
"196",1265,18,5,"other","yes","no",29,"yes","yes","public","no","yes",14,"yes","no",18,12,"2",48,117,"both","yes"
"197",613,17,3,"afam","yes","no",26,"yes","yes","public","no","no",10,"yes","no",18,18,"1",40,109,"both","yes"
"198",545,12,10,"other","yes","no",28,"yes","no","public","no","no",12,"yes","no",10,11,"7",35,91,"both","no"
"199",278,13,9,"other","yes","no",28,"yes","no","public","yes","yes",12,"yes","no",12,8,"5",32,107,"both","yes"
"200",1442,18,10,"other","yes","no",34,"yes","no","public","no","yes",17,"yes","no",16,12,"2",55,114,"both","yes"
"201",995,16,5,"other","yes","no",27,"yes","no","public","no","yes",12,"yes","no",16,12,"2",40,126,"both","yes"
"202",700,12,11,"other","yes","no",29,"yes","no","public","no","yes",10,"yes","no",11,11,"7",45,82,"both","yes"
"203",577,16,6,"other","yes","no",28,"yes","no","public","no","yes",13,"yes","no",9,12,"6",45,119,"both","yes"
"204",858,16,9,"other","yes","no",31,"yes","no","public","no","yes",14,"yes","no",6,12,"6",37,104,"both","yes"
"205",686,12,10,"other","yes","no",28,"yes","no","public","no","yes",12,"yes","no",12,10.25,"5",35,97,"other","yes"
"206",832,15,10,"other","yes","no",31,"yes","no","public","no","yes",12,"yes","no",11,10.25,"9",49,115,"both","yes"
"207",633,13,14,"other","yes","no",33,"yes","yes","private","yes","yes",10,"yes","no",13,8,"5",45,83,"both","yes"
"208",689,12,14,"other","yes","no",32,"yes","yes","private","no","yes",12,"yes","no",12,12,"3",45,97,"both","yes"
"209",769,14,10,"other","yes","no",30,"yes","yes","private","no","yes",13,"yes","no",8,8,"8",43,119,"both","yes"
"210",385,15,6,"other","yes","no",27,"yes","yes","private","no","no",11,"yes","no",12,14,"2",27,105,"both","yes"
"211",450,12,6,"other","yes","no",24,"yes","yes","private","yes","no",7,"yes","no",12,14,"2",29,NA,"both","yes"
"212",615,12,9,"other","yes","no",27,"yes","yes","private","no","yes",12,"yes","no",10,12,"6",41,114,"both","yes"
"213",682,12,16,"other","yes","no",34,"yes","yes","private","no","yes",10,"yes","no",9.9399995803833,8,"9",47,93,"singlemom","yes"
"214",670,10,16,"other","yes","no",32,"yes","yes","private","no","no",10,"yes","no",9.9399995803833,10.25,"9",28,73,"singlemom","yes"
"215",800,11,16,"other","yes","no",33,"yes","yes","private","no","yes",11,"yes","no",8,8,"8",48,96,"both","yes"
"216",505,14,14,"other","yes","no",34,"yes","yes","public","no","yes",12,"yes","no",8,8,"8",48,NA,"both","yes"
"217",1026,18,6,"other","yes","no",30,"yes","yes","public","no","no",15,"yes","no",12,16,"2",48,117,"both","yes"
"218",769,15,4,"other","yes","no",25,"yes","yes","public","no","no",9,"yes","no",16,12,"2",30,113,"both","yes"
"219",290,10,16,"other","yes","yes",32,"yes","yes","public","no","yes",10,"yes","no",10,14,"6",38,106,"both","yes"
"220",529,13,9,"other","yes","no",28,"yes","yes","public","no","yes",11,"yes","no",9.9399995803833,8,"9",37,104,"singlemom","yes"
"221",1154,16,7,"other","yes","no",29,"yes","yes","public","no","yes",13,"no","no",12,12,"3",NA,NA,"both","yes"
"222",549,10,13,"other","yes","no",29,"yes","yes","public","no","yes",10,"yes","no",12,10.25,"5",39,80,"other","yes"
"223",475,12,8,"other","yes","no",26,"yes","yes","public","no","yes",10,"yes","no",8,12,"6",30,104,"both","yes"
"224",450,12,8,"other","yes","no",26,"yes","yes","public","no","yes",10,"yes","no",12,12,"3",36,102,"both","yes"
"225",875,17,4,"other","yes","no",27,"yes","yes","public","no","no",11,"yes","no",10,10.25,"9",43,114,"other","yes"
"226",200,15,4,"other","yes","no",25,"yes","yes","public","yes","no",10,"yes","no",10,10.25,"9",33,93,"other","yes"
"227",300,13,7,"other","no","no",26,"yes","yes","public","no","no",9,"yes","no",16,16,"1",36,122,"both","yes"
"228",462,16,3,"other","no","no",25,"yes","yes","public","no","no",9,"yes","no",16,10.25,"5",28,117,"both","yes"
"229",385,12,12,"other","yes","no",30,"yes","yes","public","no","yes",12,"yes","no",13,12,"2",38,96,"both","yes"
"230",1282,15,11,"other","yes","no",32,"yes","yes","public","no","yes",15,"yes","no",16,16,"1",51,95,"both","yes"
