arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
causalpy/pymc_models.py,55,3.25,12,179,C,StateSpaceTimeSeries,build_model,2374
causalpy/tests/test_maketables_plugin.py,63,3.27,12,206,C,,test_maketables_pymc_stat_hooks,787
causalpy/tests/test_instrumental_variable.py,21,3.29,7,69,B,,test_iv_design_matrices_shape,109
causalpy/experiments/panel_regression.py,30,3.33,10,100,B,PanelRegression,input_validation,297
causalpy/steps/report.py,5,3.4,11,17,C,GenerateReport,run,98
causalpy/tests/test_model_adapter_normalization.py,5,3.4,4,17,A,,test_build_coords_defaults,29
causalpy/tests/test_plot_show_parameter.py,16,3.44,6,55,B,,test_legend_kwargs_preserves_labels_pymc,156
causalpy/tests/test_variable_selection_priors.py,8,3.5,8,28,B,,test_create_variable_in_model_context_horseshoe,60
causalpy/tests/test_pymc_models.py,50,4.0,14,200,C,TestPyMCModel,test_fit_predict,119
causalpy/tests/test_sklearn_clone_fit_intercept.py,1,4.0,4,4,A,,test_fit_intercept_clone_and_warn,23
causalpy/tests/test_ipw_get_ate.py,19,4.11,6,78,B,TestComputeAteRobust,test_returns_tuple_of_three_floats,62
causalpy/tests/test_staggered_did.py,66,4.12,14,272,C,,test_staggered_did_pymc,38
causalpy/tests/test_public_plot_signatures.py,7,4.14,8,29,B,,test_public_plot_parameters_are_documented,159
causalpy/tests/test_reporting.py,114,4.36,12,497,C,,test_effect_summary_basic,36
causalpy/tests/test_panel_regression.py,29,4.38,12,127,C,,test_panel_regression_get_plot_data,401
causalpy/checks/placebo_in_time.py,19,4.42,13,84,C,PlaceboInTime,_compute_random_fold_treatment_times,441
causalpy/reporting.py,43,4.44,14,191,C,,_generate_table,860
causalpy/tests/test_synthetic_data.py,4,4.75,8,19,B,,test_generate_regression_discontinuity_data,44
causalpy/tests/test_utils.py,26,4.92,17,128,C,,test_round_num,55
causalpy/checks/convex_hull.py,2,5.0,8,10,B,ConvexHullCheck,run,52
causalpy/checks/outcome_falsification.py,6,5.0,9,30,B,OutcomeFalsification,run,247
causalpy/tests/test_integration_skl_examples.py,11,5.0,9,55,B,,test_sc,127
causalpy/tests/test_its_effect_summary.py,30,5.1,14,153,C,,test_effect_summary_3period_comparison_pymc_datetime,499
causalpy/checks/bandwidth.py,3,5.33,12,16,C,BandwidthSensitivity,run,76
causalpy/tests/test_integration_its_new_timeseries.py,5,5.4,8,27,B,,test_its_with_state_space_model,83
causalpy/tests/test_hdi_prob_defaults.py,5,5.6,12,28,C,,_module_candidates,35
causalpy/checks/prior_sensitivity.py,3,5.67,10,17,B,PriorSensitivity,run,109
causalpy/tests/test_three_period_its.py,35,6.23,19,218,C,,test_three_period_pymc_datetime_index,105
causalpy/tests/test_integration_pymc_examples.py,48,6.88,26,330,D,,test_inverse_prop,1003
causalpy/checks/leave_one_out.py,2,8.5,15,17,C,LeaveOneOut,run,61
causalpy/checks/placebo_in_space.py,2,9.5,17,19,C,PlaceboInSpace,run,63
causalpy/tests/test_misc.py,1,12.0,12,12,C,,test_regression_kink_gradient_change,21
causalpy/tests/test_plot_utils.py,1,12.0,12,12,C,,test_get_hdi_to_df_with_coordinate_dimensions,27
